epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,128.743,0.93226,1.19064,1.16871,0.80806,0.73443,0.79876,0.60253,1.40874,1.45028,2.66068,0.000665748,0.000665748,0.000665748
2,229.983,0.9436,0.92233,1.1775,0.85866,0.84916,0.90892,0.69798,1.10927,1.11831,1.60156,0.00131922,0.00131922,0.00131922
3,330.652,0.91562,0.88971,1.15706,0.89948,0.83609,0.92969,0.71993,1.06519,0.93304,1.52797,0.0019595,0.0019595,0.0019595
4,455.984,0.86926,0.83975,1.13628,0.88334,0.88056,0.94098,0.74619,0.93427,0.81943,1.37503,0.0019406,0.0019406,0.0019406
5,675.431,0.83306,0.79195,1.11556,0.84332,0.88691,0.91684,0.72351,1.05788,0.90995,1.56335,0.0019208,0.0019208,0.0019208
6,800.134,0.79183,0.7544,1.09959,0.91229,0.8831,0.94507,0.77567,0.93888,0.70449,1.52653,0.001901,0.001901,0.001901
7,904.95,0.7594,0.72658,1.08415,0.92864,0.89297,0.95584,0.80458,0.7518,0.72633,1.26909,0.0018812,0.0018812,0.0018812
8,1008.61,0.74844,0.7072,1.07521,0.87487,0.91487,0.94237,0.77029,0.89403,0.8655,1.52991,0.0018614,0.0018614,0.0018614
9,1112.73,0.73026,0.68012,1.06097,0.88099,0.92181,0.95865,0.80432,0.81442,0.67868,1.45175,0.0018416,0.0018416,0.0018416
10,1217.72,0.70461,0.66221,1.05264,0.86929,0.93796,0.94183,0.79376,0.80027,0.65823,1.45807,0.0018218,0.0018218,0.0018218
11,1323.06,0.69228,0.64628,1.04653,0.88061,0.91614,0.95178,0.80576,0.84592,0.6917,1.52155,0.001802,0.001802,0.001802
12,1455.38,0.67932,0.63635,1.03862,0.92804,0.87294,0.94735,0.80838,0.72972,0.77727,1.32906,0.0017822,0.0017822,0.0017822
13,1593.47,0.6619,0.6324,1.03394,0.94464,0.90343,0.96458,0.83672,0.7116,0.60949,1.28385,0.0017624,0.0017624,0.0017624
14,1787.31,0.65629,0.61167,1.02556,0.90425,0.78001,0.90434,0.75394,0.94864,1.16763,1.60365,0.0017426,0.0017426,0.0017426
15,2126.8,0.64853,0.61072,1.02535,0.91896,0.93661,0.96324,0.82456,0.7864,0.56096,1.42754,0.0017228,0.0017228,0.0017228
16,2345.22,0.64528,0.60369,1.01777,0.91955,0.95859,0.96743,0.85502,0.68919,0.50276,1.36537,0.001703,0.001703,0.001703
17,2504.13,0.63208,0.59189,1.01624,0.88807,0.8831,0.93169,0.788,1.03812,0.79189,2.00548,0.0016832,0.0016832,0.0016832
18,2697.42,0.62752,0.58117,1.01507,0.95962,0.92884,0.95303,0.8375,0.66494,0.56993,1.26622,0.0016634,0.0016634,0.0016634
19,2818.96,0.61358,0.57683,1.00764,0.92839,0.94409,0.97146,0.85187,0.65744,0.59947,1.23221,0.0016436,0.0016436,0.0016436
20,2940.72,0.60577,0.56677,1.00335,0.91933,0.92679,0.9647,0.84722,0.71733,0.64843,1.31204,0.0016238,0.0016238,0.0016238
21,3061.04,0.60274,0.56685,1.00177,0.95032,0.95553,0.9742,0.85107,0.69787,0.53716,1.32544,0.001604,0.001604,0.001604
22,3183.87,0.59913,0.56018,1.00068,0.92845,0.95632,0.971,0.85968,0.60914,0.53048,1.17539,0.0015842,0.0015842,0.0015842
23,3285.1,0.59213,0.55404,0.99331,0.95163,0.94987,0.96839,0.85598,0.67741,0.48911,1.34533,0.0015644,0.0015644,0.0015644
