epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,252.547,0.6207,0.57682,1.10994,0.89344,0.89586,0.94574,0.74791,1.01865,0.72122,1.35536,0.000666247,0.000666247,0.000666247
2,487.563,0.63949,0.57828,1.09713,0.86077,0.88322,0.93065,0.73984,1.03942,0.84737,1.34314,0.00131642,0.00131642,0.00131642
3,706.97,0.66261,0.61073,1.1079,0.86534,0.89319,0.94046,0.75391,0.96345,0.7489,1.28024,0.00195009,0.00195009,0.00195009
4,925.643,0.64925,0.60949,1.10288,0.8724,0.88088,0.94573,0.75475,1.06036,0.78009,1.42266,0.00192575,0.00192575,0.00192575
5,1144.53,0.64404,0.60511,1.10194,0.86967,0.89088,0.94225,0.75771,0.86665,0.70081,1.17901,0.001901,0.001901,0.001901
6,1363.01,0.63638,0.59351,1.09412,0.85944,0.9032,0.92504,0.72286,0.90502,0.81113,1.23116,0.00187625,0.00187625,0.00187625
7,1582.21,0.62604,0.58437,1.0871,0.86731,0.9012,0.94197,0.76238,0.95202,0.97485,1.29928,0.0018515,0.0018515,0.0018515
8,1801.99,0.6227,0.56979,1.08079,0.86899,0.94759,0.92314,0.74321,0.86892,1.06649,1.18351,0.00182675,0.00182675,0.00182675
9,2021.35,0.61939,0.57653,1.08163,0.84122,0.93525,0.93324,0.76314,0.86885,1.16674,1.24686,0.001802,0.001802,0.001802
10,2240.84,0.61263,0.5703,1.0762,0.86837,0.94245,0.9346,0.75949,0.79856,0.78735,1.13659,0.00177725,0.00177725,0.00177725
11,2459.79,0.59592,0.55645,1.06637,0.85468,0.9279,0.90066,0.72161,0.82518,1.05239,1.17192,0.0017525,0.0017525,0.0017525
12,2679.68,0.59674,0.55248,1.06551,0.89605,0.94951,0.9259,0.75734,0.75817,0.87906,1.12319,0.00172775,0.00172775,0.00172775
13,2899.96,0.59153,0.56433,1.06094,0.80922,0.92025,0.84309,0.68196,0.75879,2.13695,1.13434,0.001703,0.001703,0.001703
14,3119.29,0.59601,0.57222,1.06705,0.77407,0.86182,0.78518,0.62361,0.83365,2.97953,1.23752,0.00167825,0.00167825,0.00167825
15,3340.09,0.58349,0.5515,1.0534,0.79301,0.92724,0.83464,0.64845,0.88425,2.4381,1.27784,0.0016535,0.0016535,0.0016535
16,3559.41,0.57851,0.53999,1.05155,0.84853,0.96853,0.88043,0.71248,0.72679,1.78367,1.11388,0.00162875,0.00162875,0.00162875
17,3778.7,0.58193,0.54519,1.05538,0.87881,0.95194,0.9072,0.74164,0.73869,1.02336,1.12047,0.001604,0.001604,0.001604
18,3999.51,0.57778,0.53894,1.04489,0.83061,0.94931,0.85408,0.68779,0.71953,2.05393,1.06006,0.00157925,0.00157925,0.00157925
19,4219.47,0.57104,0.52976,1.04853,0.74277,0.9506,0.76801,0.61533,0.72933,3.63179,1.08475,0.0015545,0.0015545,0.0015545
20,4439.14,0.5612,0.52751,1.03953,0.8457,0.95126,0.87139,0.71085,0.71389,2.09542,1.07859,0.00152975,0.00152975,0.00152975
21,4659.07,0.56537,0.51968,1.03828,0.71832,0.94992,0.73375,0.58942,0.76845,4.57683,1.14625,0.001505,0.001505,0.001505
22,4879.4,0.56202,0.51926,1.04414,0.80851,0.9753,0.83882,0.68138,0.70636,3.73278,1.06302,0.00148025,0.00148025,0.00148025
23,5098,0.56781,0.52734,1.04574,0.82788,0.97063,0.86518,0.71604,0.64919,2.5102,1.01866,0.0014555,0.0014555,0.0014555
24,5317.54,0.54431,0.5096,1.02934,0.65889,0.93792,0.67035,0.53033,0.7897,7.93981,1.22668,0.00143075,0.00143075,0.00143075
25,5537.27,0.54173,0.50147,1.03191,0.79237,0.97463,0.82031,0.66889,0.68766,5.93329,1.03604,0.001406,0.001406,0.001406
26,5758.12,0.5446,0.50344,1.02634,0.85452,0.96064,0.86797,0.72059,0.6377,3.19366,0.97723,0.00138125,0.00138125,0.00138125
27,5978.35,0.54172,0.49885,1.03198,0.8316,0.94939,0.83902,0.69174,0.66625,4.03925,1.02428,0.0013565,0.0013565,0.0013565
28,6197.59,0.53396,0.49804,1.024,0.76695,0.95928,0.7707,0.631,0.6778,9.15322,1.0283,0.00133175,0.00133175,0.00133175
29,6418.02,0.53373,0.49083,1.01713,0.80751,0.96055,0.81599,0.67966,0.6387,5.75121,1.02925,0.001307,0.001307,0.001307
30,6637.9,0.53091,0.50617,1.0239,0.82837,0.96656,0.85085,0.70307,0.64147,3.56007,0.98157,0.00128225,0.00128225,0.00128225
31,6857.45,0.51998,0.48778,1.00677,0.80627,0.96129,0.81604,0.67348,0.6461,5.52754,0.99175,0.0012575,0.0012575,0.0012575
32,7076.83,0.51674,0.48695,1.01355,0.82179,0.96462,0.83584,0.69368,0.6429,4.15296,0.9882,0.00123275,0.00123275,0.00123275
33,7296.45,0.52033,0.48589,1.0115,0.8195,0.96328,0.83596,0.69205,0.64756,4.70483,0.99677,0.001208,0.001208,0.001208
34,7517.76,0.5101,0.47563,1.00855,0.8011,0.96996,0.80793,0.67319,0.62165,7.08652,0.96166,0.00118325,0.00118325,0.00118325
35,7738.78,0.50723,0.47185,1.00811,0.83584,0.96533,0.84125,0.70132,0.62695,5.19608,0.96536,0.0011585,0.0011585,0.0011585
36,7958.14,0.50985,0.46835,1.00359,0.79759,0.96862,0.80423,0.66922,0.62052,6.85221,0.96614,0.00113375,0.00113375,0.00113375
37,8177.28,0.50953,0.47312,1.00734,0.85614,0.96996,0.86218,0.72338,0.60979,4.70359,0.94423,0.001109,0.001109,0.001109
38,8398.71,0.49529,0.46458,1.00016,0.83501,0.97297,0.84526,0.70962,0.62234,5.79073,0.96928,0.00108425,0.00108425,0.00108425
39,8619.99,0.50439,0.4692,1.00294,0.7829,0.97397,0.79179,0.66258,0.61814,8.106,0.96669,0.0010595,0.0010595,0.0010595
