epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,243.1,0.5538,0.50992,1.09045,0.84586,0.87294,0.91795,0.74515,0.98754,0.76325,1.37729,0.000666208,0.000666208,0.000666208
2,455.893,0.5703,0.53774,1.09042,0.84741,0.88183,0.93611,0.7643,0.94871,0.71789,1.33159,0.00131968,0.00131968,0.00131968
3,744.702,0.58935,0.56817,1.09371,0.86733,0.87225,0.94152,0.76781,0.95772,0.753,1.37011,0.00195995,0.00195995,0.00195995
4,1187.46,0.59759,0.58442,1.09865,0.83336,0.76493,0.87873,0.72549,1.1112,1.27353,1.60187,0.0019406,0.0019406,0.0019406
5,1387.36,0.5967,0.58825,1.09589,0.77466,0.89547,0.89567,0.72374,0.87402,1.01477,1.26858,0.0019208,0.0019208,0.0019208
6,1586.05,0.59953,0.59202,1.10012,0.72264,0.90597,0.83999,0.6795,0.82255,1.72242,1.24602,0.001901,0.001901,0.001901
7,1785.31,0.59103,0.57304,1.08987,0.67812,0.91233,0.69504,0.53715,0.82702,2.70992,1.26948,0.0018812,0.0018812,0.0018812
8,1983.4,0.58695,0.572,1.08884,0.70039,0.9263,0.73832,0.57408,0.82527,1.9369,1.22944,0.0018614,0.0018614,0.0018614
9,2181.96,0.58001,0.56419,1.0789,0.74769,0.87166,0.87008,0.69746,0.82725,1.90035,1.23736,0.0018416,0.0018416,0.0018416
10,2380.5,0.58423,0.56715,1.08648,0.65453,0.90724,0.67935,0.51082,0.86925,3.57701,1.34736,0.0018218,0.0018218,0.0018218
11,2578.74,0.56168,0.55701,1.07323,0.78659,0.96315,0.81349,0.65259,0.7567,2.0062,1.14579,0.001802,0.001802,0.001802
12,2778.35,0.55863,0.55124,1.06749,0.71102,0.91995,0.8215,0.6267,0.91203,1.62676,1.30836,0.0017822,0.0017822,0.0017822
13,2976.74,0.55258,0.54551,1.0627,0.76363,0.94409,0.82509,0.64179,0.79037,1.804,1.15599,0.0017624,0.0017624,0.0017624
14,3174.91,0.56299,0.55497,1.06555,0.72909,0.9199,0.7422,0.55783,0.88467,2.3327,1.33607,0.0017426,0.0017426,0.0017426
15,3373.3,0.54822,0.54259,1.06281,0.66829,0.95807,0.6765,0.5245,0.7753,4.59699,1.19601,0.0017228,0.0017228,0.0017228
16,3572.14,0.55205,0.54191,1.06277,0.71091,0.96061,0.71678,0.56163,0.77803,4.13652,1.19038,0.001703,0.001703,0.001703
17,3770.37,0.54361,0.55431,1.05272,0.74754,0.97078,0.75516,0.61017,0.6855,3.52721,1.05903,0.0016832,0.0016832,0.0016832
18,3968.47,0.5551,0.54068,1.05667,0.68683,0.97459,0.69978,0.55766,0.70245,5.42589,1.07412,0.0016634,0.0016634,0.0016634
19,4167.78,0.5418,0.53032,1.05346,0.67687,0.95554,0.68223,0.53257,0.7288,5.2659,1.12357,0.0016436,0.0016436,0.0016436
20,4366.23,0.53567,0.52741,1.04526,0.63251,0.95172,0.6697,0.53541,0.69113,5.82741,1.09859,0.0016238,0.0016238,0.0016238
21,4564.6,0.54133,0.52737,1.05274,0.72564,0.9645,0.7281,0.58087,0.74192,4.30693,1.10974,0.001604,0.001604,0.001604
22,4763.05,0.53599,0.52641,1.04608,0.75015,0.9568,0.74755,0.60666,0.66188,3.59096,1.03907,0.0015842,0.0015842,0.0015842
23,4961.85,0.52275,0.50747,1.03691,0.57598,0.92757,0.59265,0.45449,0.77413,4.89495,1.2248,0.0015644,0.0015644,0.0015644
24,5161.65,0.52771,0.52398,1.0483,0.63036,0.94691,0.63653,0.50648,0.70689,6.88854,1.12902,0.0015446,0.0015446,0.0015446
25,5360.3,0.522,0.52198,1.04051,0.75115,0.95172,0.76237,0.61985,0.66339,3.89624,1.04531,0.0015248,0.0015248,0.0015248
26,5558.72,0.51935,0.51636,1.04016,0.70116,0.95553,0.69884,0.5609,0.6794,6.87644,1.09301,0.001505,0.001505,0.001505
27,5757.18,0.51825,0.50736,1.03777,0.76331,0.96315,0.76439,0.62243,0.67014,3.29555,1.0536,0.0014852,0.0014852,0.0014852
28,5955.65,0.52472,0.50903,1.04284,0.72829,0.97078,0.74217,0.60499,0.64875,4.80615,1.02452,0.0014654,0.0014654,0.0014654
29,6154.16,0.50943,0.49948,1.02621,0.7035,0.96474,0.71434,0.57482,0.64865,5.99711,1.02857,0.0014456,0.0014456,0.0014456
30,6353.64,0.51039,0.49114,1.0283,0.67519,0.95353,0.67651,0.53547,0.6768,8.29407,1.05306,0.0014258,0.0014258,0.0014258
31,6552.54,0.50291,0.50425,1.02991,0.68931,0.96413,0.69527,0.55573,0.67381,7.8882,1.04176,0.001406,0.001406,0.001406
32,6751.33,0.5053,0.49522,1.03104,0.57793,0.93901,0.57805,0.44057,0.75828,12.1171,1.18843,0.0013862,0.0013862,0.0013862
33,6949.7,0.49653,0.49491,1.02332,0.69733,0.97205,0.69738,0.56746,0.65116,5.94741,1.01834,0.0013664,0.0013664,0.0013664
